sort_id,Manuscript.ID,Submission.Question.Response.y,appar_link,appar_supp,appar_data,appar_code,Is a link and/or supplementary materials provided?,How is it provided?,Is data and/or code provided?,Checked by,Notes
136,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,No,NA,NA,[redacted],not shared
137,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
138,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Link,Data,[redacted],
139,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data,[redacted],code explicitly not provided
140,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Supplementary materials,Data,[redacted],
141,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
142,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
143,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
144,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
145,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
146,[redacted],[redacted],FALSE,TRUE,FALSE,TRUE,Yes,Supplementary materials,Code,[redacted],
147,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Unclear,[redacted],
148,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
149,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
150,[redacted],[redacted],TRUE,FALSE,FALSE,FALSE,Yes,Link,Unclear,[redacted],
151,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,No,NA,NA,[redacted],"generic link, not to data/code"
152,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
153,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
154,[redacted],[redacted],TRUE,TRUE,TRUE,FALSE,Yes,Link,Data,[redacted],
155,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
156,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
157,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data,[redacted],
158,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Unclear,[redacted],
159,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
160,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
161,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
162,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
163,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
164,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
165,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
166,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Link,Data,[redacted],
167,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Link,Data,[redacted],
